Feature,Importance
Sex_is_male,0.4811741003162161
Pclass,0.15006068816493368
Fare,0.1405975573275317
Age,0.08835805077912892
SibSp,0.05596240675385087
Parch,0.03729573204210768
Embarked_is_S,0.03484015232215919
Embarked_is_C,0.011711312294071886
